bea_code,windc_label,category,description,description_code
111CA,agr,goods,Farms,Farms (111CA)
113FF,fof,goods,"Forestry, fishing, and related activities","Forestry, fishing, and related activities (113FF)"
211,oil,goods,Oil and gas extraction,Oil and gas extraction (211)
212,min,goods,"Mining, except oil and gas","Mining, except oil and gas (212)"
213,smn,goods,Support activities for mining,Support activities for mining (213)
22,uti,goods,Utilities,Utilities (22)
23,con,goods,Construction,Construction (23)
321,wpd,goods,Wood products,Wood products (321)
327,nmp,goods,Nonmetallic mineral products,Nonmetallic mineral products (327)
331,pmt,goods,Primary metals,Primary metals (331)
332,fmt,goods,Fabricated metal products,Fabricated metal products (332)
333,mch,goods,Machinery,Machinery (333)
334,cep,goods,Computer and electronic products,Computer and electronic products (334)
335,eec,goods,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components (335)"
3361MV,mot,goods,"Motor vehicles, bodies and trailers, and parts","Motor vehicles, bodies and trailers, and parts (3361MV)"
3364OT,ote,goods,Other transportation equipment,Other transportation equipment (3364OT)
337,fpd,goods,Furniture and related products,Furniture and related products (337)
339,mmf,goods,Miscellaneous manufacturing,Miscellaneous manufacturing (339)
311FT,fbp,goods,Food and beverage and tobacco products,Food and beverage and tobacco products (311FT)
313TT,tex,goods,Textile mills and textile product mills,Textile mills and textile product mills (313TT)
315AL,alt,goods,Apparel and leather and allied products,Apparel and leather and allied products (315AL)
322,ppd,goods,Paper products,Paper products (322)
323,pri,goods,Printing and related support activities,Printing and related support activities (323)
324,pet,goods,Petroleum and coal products,Petroleum and coal products (324)
325,che,goods,Chemical products,Chemical products (325)
326,pla,goods,Plastics and rubber products,Plastics and rubber products (326)
42,wht,goods,Wholesale trade,Wholesale trade (42)
441,mvt,goods,Motor vehicle and parts dealers,Motor vehicle and parts dealers (441)
445,fbt,goods,Food and beverage stores,Food and beverage stores (445)
452,gmt,goods,General merchandise stores,General merchandise stores (452)
4A0,ott,goods,Other retail,Other retail (4A0)
481,air,goods,Air transportation,Air transportation (481)
482,trn,goods,Rail transportation,Rail transportation (482)
483,wtt,goods,Water transportation,Water transportation (483)
484,trk,goods,Truck transportation,Truck transportation (484)
485,grd,goods,Transit and ground passenger transportation,Transit and ground passenger transportation (485)
486,pip,goods,Pipeline transportation,Pipeline transportation (486)
487OS,otr,goods,Other transportation and support activities,Other transportation and support activities (487OS)
493,wrh,goods,Warehousing and storage,Warehousing and storage (493)
511,pub,goods,"Publishing industries, except internet (includes software)","Publishing industries, except internet (includes software) (511)"
512,mov,goods,Motion picture and sound recording industries,Motion picture and sound recording industries (512)
513,brd,goods,Broadcasting and telecommunications,Broadcasting and telecommunications (513)
514,dat,goods,"Data processing, internet publishing, and other information services","Data processing, internet publishing, and other information services (514)"
521CI,bnk,goods,"Federal Reserve banks, credit intermediation, and related activities","Federal Reserve banks, credit intermediation, and related activities (521CI)"
523,sec,goods,"Securities, commodity contracts, and investments","Securities, commodity contracts, and investments (523)"
524,ins,goods,Insurance carriers and related activities,Insurance carriers and related activities (524)
525,fin,goods,"Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles (525)"
HS,hou,goods,Housing,Housing (HS)
ORE,ore,goods,Other real estate,Other real estate (ORE)
532RL,rnt,goods,Rental and leasing services and lessors of intangible assets,Rental and leasing services and lessors of intangible assets (532RL)
5411,leg,goods,Legal services,Legal services (5411)
5415,com,goods,Computer systems design and related services,Computer systems design and related services (5415)
5412OP,tsv,goods,"Miscellaneous professional, scientific, and technical services","Miscellaneous professional, scientific, and technical services (5412OP)"
55,man,goods,Management of companies and enterprises,Management of companies and enterprises (55)
561,adm,goods,Administrative and support services,Administrative and support services (561)
562,wst,goods,Waste management and remediation services,Waste management and remediation services (562)
61,edu,goods,Educational services,Educational services (61)
621,amb,goods,Ambulatory health care services,Ambulatory health care services (621)
622,hos,goods,Hospitals,Hospitals (622)
623,nrs,goods,Nursing and residential care facilities,Nursing and residential care facilities (623)
624,soc,goods,Social assistance,Social assistance (624)
711AS,art,goods,"Performing arts, spectator sports, museums, and related activities","Performing arts, spectator sports, museums, and related activities (711AS)"
713,rec,goods,"Amusements, gambling, and recreation industries","Amusements, gambling, and recreation industries (713)"
721,amd,goods,Accommodation,Accommodation (721)
