bea_code,windc_label,windc_aggr_label,category,description,description_code
1111A0,oil_agr,agr,goods,Oilseed farming,Oilseed farming (1111A0)
1111B0,grn_agr,agr,goods,Grain farming,Grain farming (1111B0)
111200,veg_agr,agr,goods,Vegetable and melon farming,Vegetable and melon farming (111200)
111300,nut_agr,agr,goods,Fruit and tree nut farming,Fruit and tree nut farming (111300)
111400,flo_agr,agr,goods,"Greenhouse, nursery, and floriculture production","Greenhouse, nursery, and floriculture production (111400)"
111900,oth_agr,agr,goods,Other crop farming,Other crop farming (111900)
112120,dry_agr,agr,goods,Dairy cattle and milk production,Dairy cattle and milk production (112120)
1121A0,bef_agr,agr,goods,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming (1121A0)"
112300,egg_agr,agr,goods,Poultry and egg production,Poultry and egg production (112300)
112A00,ota_agr,agr,goods,"Animal production, except cattle and poultry and eggs","Animal production, except cattle and poultry and eggs (112A00)"
113000,log_fof,fof,goods,Forestry and logging,Forestry and logging (113000)
114000,fht_fof,fof,goods,"Fishing, hunting and trapping","Fishing, hunting and trapping (114000)"
115000,saf_fof,fof,goods,Support activities for agriculture and forestry,Support activities for agriculture and forestry (115000)
211000,oil_oil,oil,goods,Oil and gas extraction,Oil and gas extraction (211000)
212100,col_min,min,goods,Coal mining,Coal mining (212100)
212230,led_min,min,goods,"Copper, nickel, lead, and zinc mining","Copper, nickel, lead, and zinc mining (212230)"
2122A0,ore_min,min,goods,"Iron, gold, silver, and other metal ore mining","Iron, gold, silver, and other metal ore mining (2122A0)"
212310,stn_min,min,goods,Stone mining and quarrying,Stone mining and quarrying (212310)
2123A0,oth_min,min,goods,Other nonmetallic mineral mining and quarrying,Other nonmetallic mineral mining and quarrying (2123A0)
213111,drl_smn,smn,goods,Drilling oil and gas wells,Drilling oil and gas wells (213111)
21311A,oth_smn,smn,goods,Other support activities for mining,Other support activities for mining (21311A)
221100,ele_uti,uti,goods,"Electric power generation, transmission, and distribution","Electric power generation, transmission, and distribution (221100)"
221200,gas_uti,uti,goods,Natural gas distribution,Natural gas distribution (221200)
221300,wat_uti,uti,goods,"Water, sewage and other systems","Water, sewage and other systems (221300)"
233210,hcs_con,con,goods,Health care structures,Health care structures (233210)
233262,edu_con,con,goods,Educational and vocational structures,Educational and vocational structures (233262)
230301,nmr_con,con,goods,Nonresidential maintenance and repair,Nonresidential maintenance and repair (230301)
230302,rmr_con,con,goods,Residential maintenance and repair,Residential maintenance and repair (230302)
2332A0,off_con,con,goods,Office and commercial structures,Office and commercial structures (2332A0)
233412,mrs_con,con,goods,Multifamily residential structures,Multifamily residential structures (233412)
2334A0,ors_con,con,goods,Other residential structures,Other residential structures (2334A0)
233230,mfs_con,con,goods,Manufacturing structures,Manufacturing structures (233230)
2332D0,ons_con,con,goods,Other nonresidential structures,Other nonresidential structures (2332D0)
233240,pwr_con,con,goods,Power and communication structures,Power and communication structures (233240)
233411,srs_con,con,goods,Single-family residential structures,Single-family residential structures (233411)
2332C0,trn_con,con,goods,Transportation structures and highways and streets,Transportation structures and highways and streets (2332C0)
321100,saw_wpd,wpd,goods,Sawmills and wood preservation,Sawmills and wood preservation (321100)
321200,ven_wpd,wpd,goods,"Veneer, plywood, and engineered wood product manufacturing","Veneer, plywood, and engineered wood product manufacturing (321200)"
321910,mil_wpd,wpd,goods,Millwork,Millwork (321910)
3219A0,owp_wpd,wpd,goods,All other wood product manufacturing,All other wood product manufacturing (3219A0)
327100,cly_nmp,nmp,goods,Clay product and refractory manufacturing,Clay product and refractory manufacturing (327100)
327200,gla_nmp,nmp,goods,Glass and glass product manufacturing,Glass and glass product manufacturing (327200)
327310,cmt_nmp,nmp,goods,Cement manufacturing,Cement manufacturing (327310)
327320,cnc_nmp,nmp,goods,Ready-mix concrete manufacturing,Ready-mix concrete manufacturing (327320)
327330,cpb_nmp,nmp,goods,"Concrete pipe, brick, and block manufacturing","Concrete pipe, brick, and block manufacturing (327330)"
327390,ocp_nmp,nmp,goods,Other concrete product manufacturing,Other concrete product manufacturing (327390)
327400,lme_nmp,nmp,goods,Lime and gypsum product manufacturing,Lime and gypsum product manufacturing (327400)
327910,abr_nmp,nmp,goods,Abrasive product manufacturing,Abrasive product manufacturing (327910)
327991,cut_nmp,nmp,goods,Cut stone and stone product manufacturing,Cut stone and stone product manufacturing (327991)
327992,tmn_nmp,nmp,goods,Ground or treated mineral and earth manufacturing,Ground or treated mineral and earth manufacturing (327992)
327993,wol_nmp,nmp,goods,Mineral wool manufacturing,Mineral wool manufacturing (327993)
327999,mnm_nmp,nmp,goods,Miscellaneous nonmetallic mineral products,Miscellaneous nonmetallic mineral products (327999)
331110,irn_pmt,pmt,goods,Iron and steel mills and ferroalloy manufacturing,Iron and steel mills and ferroalloy manufacturing (331110)
331200,stl_pmt,pmt,goods,Steel product manufacturing from purchased steel,Steel product manufacturing from purchased steel (331200)
331313,ala_pmt,pmt,goods,Alumina refining and primary aluminum production,Alumina refining and primary aluminum production (331313)
326210,tir_pla,pla,goods,Tire manufacturing,Tire manufacturing (326210)
33131B,alu_pmt,pmt,goods,Aluminum product manufacturing from purchased aluminum,Aluminum product manufacturing from purchased aluminum (33131B)
331410,nms_pmt,pmt,goods,Nonferrous Metal (except Aluminum) Smelting and Refining,Nonferrous Metal (except Aluminum) Smelting and Refining (331410)
331420,cop_pmt,pmt,goods,"Copper rolling, drawing, extruding and alloying","Copper rolling, drawing, extruding and alloying (331420)"
331490,nfm_pmt,pmt,goods,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying","Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying (331490)"
331510,fmf_pmt,pmt,goods,Ferrous metal foundries,Ferrous metal foundries (331510)
331520,nff_pmt,pmt,goods,Nonferrous metal foundries,Nonferrous metal foundries (331520)
332114,rol_fmt,fmt,goods,Custom roll forming,Custom roll forming (332114)
33211A,fss_fmt,fmt,goods,"All other forging, stamping, and sintering","All other forging, stamping, and sintering (33211A)"
332119,crn_fmt,fmt,goods,"Metal crown, closure, and other metal stamping (except automotive)","Metal crown, closure, and other metal stamping (except automotive) (332119)"
332200,cut_fmt,fmt,goods,Cutlery and handtool manufacturing,Cutlery and handtool manufacturing (332200)
332310,plt_fmt,fmt,goods,Plate work and fabricated structural product manufacturing,Plate work and fabricated structural product manufacturing (332310)
332320,orn_fmt,fmt,goods,Ornamental and architectural metal products manufacturing,Ornamental and architectural metal products manufacturing (332320)
332410,pwr_fmt,fmt,goods,Power boiler and heat exchanger manufacturing,Power boiler and heat exchanger manufacturing (332410)
332420,mtt_fmt,fmt,goods,Metal tank (heavy gauge) manufacturing,Metal tank (heavy gauge) manufacturing (332420)
332430,mtc_fmt,fmt,goods,"Metal can, box, and other metal container (light gauge) manufacturing","Metal can, box, and other metal container (light gauge) manufacturing (332430)"
332500,hdw_fmt,fmt,goods,Hardware manufacturing,Hardware manufacturing (332500)
332600,spr_fmt,fmt,goods,Spring and wire product manufacturing,Spring and wire product manufacturing (332600)
332710,mch_fmt,fmt,goods,Machine shops,Machine shops (332710)
332720,tps_fmt,fmt,goods,"Turned product and screw, nut, and bolt manufacturing","Turned product and screw, nut, and bolt manufacturing (332720)"
332800,ceh_fmt,fmt,goods,"Coating, engraving, heat treating and allied activities","Coating, engraving, heat treating and allied activities (332800)"
332913,plb_fmt,fmt,goods,Plumbing fixture fitting and trim manufacturing,Plumbing fixture fitting and trim manufacturing (332913)
33291A,vlv_fmt,fmt,goods,Valve and fittings other than plumbing,Valve and fittings other than plumbing (33291A)
332991,bbr_fmt,fmt,goods,Ball and roller bearing manufacturing,Ball and roller bearing manufacturing (332991)
332996,fab_fmt,fmt,goods,Fabricated pipe and pipe fitting manufacturing,Fabricated pipe and pipe fitting manufacturing (332996)
